Child ID,Item Type,Child Document
UTICA-2475,System Requirement,SyCIC
MASTER-63409,System Requirement,Thrive
MASTER-63410,System Requirement,Thrive
UTICA-6793,System Requirement,Thrive
UTICA-11928,System Requirement,Thrive
UTICA-11929,System Requirement,Thrive
UTICA-25739,System Requirement,Thrive
UTICA-25740,System Requirement,Thrive
UTICA-25743,System Requirement,Thrive
UTICA-10908,System Requirement,Thrive
UTICA-10929,System Requirement,Thrive
UTICA-11931,System Requirement,Thrive
UTICA-24739,System Requirement,Thrive
UTICA-24740,System Requirement,Thrive
UTICA-24741,System Requirement,Thrive
UTICA-6217,System Requirement,Thrive
UTICA-6218,System Requirement,Thrive
